sex,tanner_months,min_ht_vel,ht_vel_5p,ht_vel_50p,ht_vel_95p,max_ht_vel,min_ht_vel_2sd,max_ht_vel_2sd
0,30,3.7,5.6999998,8.1999998,10.6,12.6,5.1999998,11.1
0,42,3.2,5.0999999,7.4000001,9.6000004,11.4,4.5999999,10.1
0,54,3,4.6999998,6.8000002,8.8999996,10.6,4.1999998,9.3999996
0,66,3,4.5,6.4000001,8.3000002,9.8000002,4.0999999,8.6999998
0,78,2.7,4.1999998,6,7.8000002,9.3000002,3.8,8.1999998
0,90,2.7,4.0999999,5.8000002,7.5,8.8999996,3.7,7.9000001
0,102,2.5,3.8,5.4000001,7,8.3000002,3.5,7.3000002
0,114,2.5,3.7,5.1999998,6.6999998,7.9000001,3.4000001,7
0,126,2.5999999,3.7,5.0999999,6.5,7.5999999,3.4000001,6.8000002
0,138,2.5,3.8,5.4000001,6.8000002,7.9000001,3.5,7.0999999
0,150,3.4000001,4.9000001,6.8000002,9,10.8,4.5,9.5
0,162,5.0999999,7.0999999,9.5,11.9,13.9,6.5999999,12.4
0,174,2,4,6.4000001,8.6000004,10.4,3.5,9.1000004
0,186,0,1.1,3.3,5.5,7.3000002,.60000002,6
0,198,0,.40000001,1.5,2.9000001,4,.2,3.2
0,210,0,0,.5,1.6,2.5,0,1.8
0,222,0,0,.5,1.6,2.5,0,1.8
0,234,0,0,.5,1.6,2.5,0,1.8
0,246,0,0,.5,1.6,2.5,0,1.8
1,30,3.7,5.9000001,8.6000004,11.3,13.5,5.3000002,11.9
1,42,3.2,5.1999998,7.5999999,9.8999996,11.8,4.6999998,10.4
1,54,3.0999999,4.8000002,6.9000001,9,10.7,4.3000002,9.5
1,66,3,4.5,6.4000001,8.3000002,9.8000002,4.0999999,8.6999998
1,78,2.8,4.3000002,6.0999999,7.8000002,9.1999998,3.9000001,8.1999998
1,90,3.2,4.4000001,5.9000001,7.5,8.8000002,4.0999999,7.8000002
1,102,3,4.1999998,5.6999998,7.3000002,8.6000004,3.9000001,7.5999999
1,114,3.0999999,4.3000002,5.8000002,7.4000001,8.6999998,4,7.6999998
1,126,3.0999999,4.6999998,6.6999998,8.6999998,10.3,4.3000002,9.1000004
1,138,4.1999998,6.0999999,8.3999996,10.4,12,5.5999999,10.8
1,150,1.9,3.7,5.9000001,8,9.6999998,3.2,8.5
1,162,0,.89999998,3,4.8000002,6.3000002,.40000001,5.1999998
1,174,0,0,.89999998,1.8,2.5,0,2
1,186,0,0,.89999998,1.8,2.5,0,2
1,198,0,0,.89999998,1.8,2.5,0,2
1,210,0,0,.89999998,1.8,2.5,0,2
1,222,0,0,.89999998,1.8,2.5,0,2
1,234,0,0,.89999998,1.8,2.5,0,2
1,246,0,0,.89999998,1.8,2.5,0,2
